Time Stamp;Packet Count;Mode;Coment Count;Attitude Valid;System Time;Switch Register;q1 (Main Sensor);q2 (Main Sensor);q3 (Main Sensor);q0 (Main Sensor);q1 (Aux Sensor);q2 (Aux Sensor);q3 (Aux Sensor);q0 (Aux Sensor);Ang Vel X (Main Sensor);Ang Vel Y (Main Sensor);Ang Vel Z (Main Sensor);Ang Vel X (Aux Sensor);Ang Vel Y (Aux Sensor);Ang Vel Z (Aux Sensor);result attitude propagator;result attitude propagator (aux);attitude mode;attitude mode (aux);ACS time;q1 (STS A);q2 (STS A);q3 (STS A);q0 (STS A);time STS A;q1 (STS B);q2 (STS B);q3 (STS B);q0 (STS B);time STS B;Sun Vector X;Sun Vector Y;Sun Vector Z;Magnetic Vector X;Magnetic Vector Y;Magnetic Vector Z;Wheel X Ang Vel;Wheel Y Ang Vel;Wheel Z Ang Vel;Location Vector X;Location Vector Y;Location Vector Z;q1 (Nadir Target);q2 (Nadir Target);q3 (Nadir Target);q0 (Nadir Target);Calculated Magnetic X;Calculated Magnetic Y;Calculated Magnetic Z;q1 (Target Attitude);q2 (Target Attitude);q3 (Target Attitude);q0 (Target Attitude);X Target Ang Vel;Y Target Ang Vel;Z Target Ang Vel;Target Wheel Torque X;Target Wheel Torque Y;Target Wheel Torque Z;System Current;Main Voltage;Batteray Current;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;Inverted Sum
602.1489;47245;Mode 12;995;111000011000000;2018-09-29 01:36:45.200;01000011111111110010011100101001;-0.8895102;0.1971210;0.3715194;0.1785730;-0.0980879;0.3844649;-0.1100548;0.6458091;-0.0000832;0.0000166;-0.0000499;0.0003164;-0.0006780;0.0005835;1;0;4;9;674093291;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0593558;-0.6083967;-0.7914104;0.1924924;-0.0935197;0.9768311;6.0896564;525.1722412;-41.0157471;-6216.0390625;2915.6584473;-425.8344727;0.1923000;0.6573197;-0.1117542;0.7200434;-0.0000138;0.0000059;0.0000292;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;3985.5552220;15.8696000;145.4246443;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3E2A
602.4197;47246;Mode 12;995;111000011000000;2018-09-29 01:36:45.500;01000011111111110010011100101001;-0.8895099;0.1971271;0.3715141;0.1785792;-0.0980879;0.3844649;-0.1100548;0.6458091;0.0000666;0.0000333;0.0000166;0.0003164;-0.0006780;0.0005835;1;0;4;9;674093561;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592784;-0.6076035;-0.7920252;0.1924924;-0.0935197;0.9768311;6.0896564;525.2149658;-41.0168152;-6215.8544922;2915.8095703;-427.4677734;0.1922866;0.6572333;-0.1117773;0.7201223;-0.0000139;0.0000059;0.0000292;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2683.4562148;15.9652000;121.5410349;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3A7D
602.6879;47247;Mode 12;995;111000011000000;2018-09-29 01:36:45.800;01000011111111110010011100101001;-0.8895119;0.1971292;0.3715077;0.1785799;-0.0980879;0.3844649;-0.1100548;0.6458091;0.0000166;0.0000499;0.0000000;0.0003164;-0.0006780;0.0005835;1;0;4;9;674093830;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592784;-0.6076035;-0.7920252;0.1924924;-0.0935197;0.9768311;6.0896564;525.1929321;-40.9908066;-6215.5942383;2916.0205078;-429.7578125;0.1922678;0.6571122;-0.1118096;0.7202328;-0.0000139;0.0000059;0.0000292;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2740.0692151;15.9652000;122.0717818;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3F19
602.9587;47248;Mode 12;995;111000011000000;2018-09-29 01:36:46.100;01000011111111110010011100101001;-0.8895174;0.1971242;0.3715002;0.1785738;-0.0980879;0.3844649;-0.1100548;0.6458091;-0.0000499;0.0000666;-0.0000333;0.0003164;-0.0006780;0.0005835;1;0;4;9;674094101;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592784;-0.6076035;-0.7920252;0.1924924;-0.0935197;0.9768311;6.0541987;525.1918945;-40.9832115;-6215.3344727;2916.2304688;-432.0402832;0.1922490;0.6569914;-0.1118418;0.7203430;-0.0000139;0.0000059;0.0000292;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;121.5410349;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3D8F
603.2279;47249;Mode 12;995;111000011000000;2018-09-29 01:36:46.300;01000011111111110010011100101001;-0.8895164;0.1971209;0.3715087;0.1785643;-0.0980879;0.3844649;-0.1100548;0.6458091;-0.0000832;-0.0000499;0.0000166;0.0003164;-0.0006780;0.0005835;1;0;4;9;674094370;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592191;-0.6086407;-0.7912329;0.1924924;-0.0935197;0.9768311;6.0541987;525.2247925;-40.9807510;-6215.1860352;2916.3508301;-433.3466797;0.1922383;0.6569223;-0.1118603;0.7204060;-0.0000139;0.0000059;0.0000292;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2740.0692151;15.9652000;122.0717818;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3D31
603.4977;47250;Mode 12;995;111000011000000;2018-09-29 01:36:46.600;01000011111111110010011100101001;-0.8895146;0.1971160;0.3715044;0.1785878;-0.0980879;0.3844649;-0.1100548;0.6458091;0.0001498;-0.0000166;-0.0000999;0.0003164;-0.0006780;0.0005835;1;0;4;9;674094640;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592191;-0.6086407;-0.7912329;0.1924924;-0.0935197;0.9768311;6.0541987;525.2631836;-40.9816093;-6214.8862305;2916.5908203;-435.9638672;0.1922168;0.6567838;-0.1118972;0.7205323;-0.0000140;0.0000059;0.0000291;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;122.6025286;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3D55
603.7679;47251;Mode 12;995;111000011000000;2018-09-29 01:36:46.900;01000011111111110010011100101001;-0.8895184;0.1971221;0.3714919;0.1785883;-0.0980879;0.3844649;-0.1100548;0.6458091;0.0000333;0.0000999;0.0000166;0.0003164;-0.0006780;0.0005835;1;0;4;9;674094910;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592191;-0.6086407;-0.7912329;0.1924924;-0.0935197;0.9768311;6.0168366;525.2496948;-41.0016632;-6214.6625977;2916.7702637;-437.9187012;0.1922008;0.6566803;-0.1119248;0.7206266;-0.0000140;0.0000060;0.0000291;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;122.2486974;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3D6D
604.0377;47252;Mode 12;995;111000011000000;2018-09-29 01:36:47.100;01000011111111110010011100101001;-0.8895176;0.1971205;0.3714930;0.1785915;-0.0980879;0.3844649;-0.1100548;0.6458091;0.0000166;-0.0000166;-0.0000166;0.0003164;-0.0006780;0.0005835;1;0;4;9;674095180;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592191;-0.6086407;-0.7912329;0.1924924;-0.0935197;0.9768311;6.0168366;525.2910767;-41.0179939;-6214.3994141;2916.9797363;-440.2075195;0.1921819;0.6565591;-0.1119571;0.7207370;-0.0000140;0.0000060;0.0000291;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;122.6025286;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3F2E
604.3080;47253;Mode 12;995;111000011000000;2018-09-29 01:36:47.400;01000011111111110010011100101001;-0.8895176;0.1971173;0.3714951;0.1785908;-0.0980879;0.3844649;-0.1100548;0.6458091;-0.0000166;-0.0000166;-0.0000166;0.0003164;-0.0006780;0.0005835;1;0;4;9;674095450;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592191;-0.6086407;-0.7912329;0.1924924;-0.0935197;0.9768311;6.0168366;525.2838135;-41.0117836;-6214.2119141;2917.1293945;-441.8415527;0.1921685;0.6564726;-0.1119802;0.7208158;-0.0000140;0.0000060;0.0000291;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;122.4256130;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3E4C
604.5782;47254;Mode 12;995;111000011000000;2018-09-29 01:36:47.700;01000011111111110010011100101001;-0.8895154;0.1971220;0.3715020;0.1785824;-0.0980879;0.3844649;-0.1100548;0.6458091;-0.0000499;-0.0000333;0.0000666;0.0003164;-0.0006780;0.0005835;1;0;4;9;674095720;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9530565;0.2238632;-0.2038326;0.0046083;673042660;-0.0592191;-0.6086407;-0.7912329;0.1924924;-0.0935197;0.9768311;6.0168366;525.2775879;-41.0201378;-6213.9853516;2917.3078613;-443.7998047;0.1921524;0.6563689;-0.1120079;0.7209103;-0.0000141;0.0000060;0.0000291;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2683.4562148;15.9652000;122.4256130;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3CEC
