,Time,Yaw,Pitch,Roll
0,2018-10-09 01:50:05.500,-3.426011130586348,-5.197103033033901,34.675887877836985
1,2018-10-09 01:50:05.800,-3.425728235520785,-5.197870014358294,34.67499402297438
2,2018-10-09 01:50:06.000,-3.425167346913265,-5.1344074450489225,34.67097495237222
3,2018-10-09 01:50:06.300,-3.4240486309676132,-5.136768521998992,34.67048456661268
4,2018-10-09 01:50:06.600,-3.423820954914507,-5.135978298184995,34.66997038829691
5,2018-10-09 01:50:06.900,-3.425147353723553,-5.134054673392124,34.66966164364964
6,2018-10-09 01:50:07.100,-3.42503208049591,-5.070261549271539,34.665517005820014
7,2018-10-09 01:50:07.400,-3.4268819155784613,-5.066338234482525,34.665232692443624
8,2018-10-09 01:50:07.700,-3.4251122107724234,-5.070244435737529,34.66455640164533
9,2018-10-09 01:50:07.900,-3.423424246169725,-5.072365977555504,34.66401442373436
10,2018-10-09 01:50:08.200,-3.424594380005998,-5.006026493377459,34.66082335716378
11,2018-10-09 01:50:08.500,-3.423248048190272,-5.008513100068242,34.66061031020272
12,2018-10-09 01:50:08.700,-3.4240963489710015,-5.007050829625997,34.660266677637544
13,2018-10-09 01:50:09.000,-3.423683673827864,-4.943759161094721,34.65589080833733
14,2018-10-09 01:50:09.300,-3.422607831799929,-4.944273780912346,34.65588703789713
15,2018-10-09 01:50:09.600,-3.423872860677514,-4.942424210498772,34.65637395281534
16,2018-10-09 01:50:09.800,-3.4215290643262066,-4.9466762861851725,34.65595601337814
17,2018-10-09 01:50:10.100,-3.4213981769955324,-4.882830171618245,34.652645393336684
18,2018-10-09 01:50:10.400,-3.4227195510075394,-4.879732523912447,34.6522294874805
19,2018-10-09 01:50:10.600,-3.4240623941388666,-4.87755143757375,34.65249776676181
20,2018-10-09 01:50:10.900,-3.4227621315839314,-4.8800728151716966,34.652299564727244
21,2018-10-09 01:50:11.200,-3.423058384317872,-4.813732439844632,34.648344738184726
22,2018-10-09 01:50:11.400,-3.421594700224022,-4.817307192121971,34.64767610461447
23,2018-10-09 01:50:11.700,-3.419652222526517,-4.819641025594579,34.64745645880788
24,2018-10-09 01:50:12.000,-3.422208268003206,-4.7514280700562885,34.64327698351407
25,2018-10-09 01:50:12.300,-3.4213387252323293,-4.7505191888915395,34.64365429395081
26,2018-10-09 01:50:12.500,-3.4221129428352497,-4.748477396547504,34.64350857877563
27,2018-10-09 01:50:12.800,-3.419407718464172,-4.755433062623535,34.64325417581437
28,2018-10-09 01:50:13.100,-3.422802150828541,-4.682273425454427,34.639419371545195
29,2018-10-09 01:50:13.300,-3.4184418158597527,-4.689711567767378,34.639380943686604
30,2018-10-09 01:50:13.600,-3.419199751758474,-4.687925322554848,34.63962769237452
31,2018-10-09 01:50:13.900,-3.419203735921837,-4.686893982293062,34.63966338773283
32,2018-10-09 01:50:14.100,-3.4189101837356053,-4.620975651221655,34.63550289732733
33,2018-10-09 01:50:14.400,-3.419638087852108,-4.619216337080893,34.63570663694485
34,2018-10-09 01:50:14.700,-3.4167632408823203,-4.6255554374239,34.635207389982234
35,2018-10-09 01:50:15.000,-3.4157039197970085,-4.562199989626451,34.63134306272615
36,2018-10-09 01:50:15.200,-3.4183547989337386,-4.556015065718681,34.63160696455662
37,2018-10-09 01:50:15.500,-3.4155752702398887,-4.561437324288193,34.63045329560336
38,2018-10-09 01:50:15.800,-3.414903932875109,-4.561198950751756,34.630495609698805
39,2018-10-09 01:50:16.000,-3.4156058222189083,-4.4948042074961885,34.62695408294786
40,2018-10-09 01:50:16.300,-3.415797591766086,-4.494299248920299,34.62647841635278
41,2018-10-09 01:50:16.600,-3.4156250942457778,-4.4937059831040145,34.62599483378889
42,2018-10-09 01:50:16.800,-3.4153054724823106,-4.492753518910749,34.62582258538085
43,2018-10-09 01:50:17.100,-3.4155305473664215,-4.427546800246453,34.62178777417543
44,2018-10-09 01:50:17.400,-3.413405006711554,-4.429998025568349,34.62123246019118
45,2018-10-09 01:50:17.700,-3.415408244531924,-4.425332652086316,34.62150735241837
46,2018-10-09 01:50:17.900,-3.414829183355068,-4.426039660383332,34.6201143315167
47,2018-10-09 01:50:18.200,-3.410809338724811,-4.36731771587465,34.616021882610454
48,2018-10-09 01:50:18.500,-3.4133465669505565,-4.36193551571421,34.61563918751464
49,2018-10-09 01:50:18.700,-3.413136047603006,-4.362572015621329,34.61524643034304
50,2018-10-09 01:50:19.000,-3.410178603867738,-4.302999482999983,34.61085043159732
51,2018-10-09 01:50:19.300,-3.4106193701490626,-4.3012006104012235,34.61046416753523
52,2018-10-09 01:50:19.500,-3.411406227860302,-4.299030593218516,34.61021947776509
53,2018-10-09 01:50:19.800,-3.410271662652088,-4.299988242553239,34.61004333900703
54,2018-10-09 01:50:20.100,-3.411708269286713,-4.231851065384334,34.60603544318618
55,2018-10-09 01:50:20.400,-3.40920217082001,-4.235994403158061,34.60568023474261
56,2018-10-09 01:50:20.600,-3.4085482877894555,-4.236843821228424,34.60513060591867
57,2018-10-09 01:50:20.900,-3.4093020938219545,-4.2356175437131744,34.604604585072124
58,2018-10-09 01:50:21.200,-3.4089077463758737,-4.169370436665155,34.60055807955733
59,2018-10-09 01:50:21.400,-3.40635434465428,-4.175046871300567,34.60048115857596
60,2018-10-09 01:50:21.700,-3.4081484346152577,-4.169848440535714,34.60059894404542
61,2018-10-09 01:50:22.000,-3.407420953367001,-4.106904449975265,34.596428323417854
62,2018-10-09 01:50:22.200,-3.4063102328189188,-4.107522974311902,34.59544476864877
